,venue,Team,Opposition,Over Number,Ball Number,current_run,run_rate,wickets_left,runs_till_5_over,score
0,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,5,1,33.0,6.387096774193548,9.0,33.0,133.0
1,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,5,2,37.0,6.9375,9.0,33.0,133.0
2,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,5,3,38.0,6.90909090909091,9.0,33.0,133.0
3,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,5,4,38.0,6.705882352941177,9.0,33.0,133.0
4,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,5,5,38.0,6.514285714285714,9.0,33.0,133.0
5,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,5,6,42.0,7.0,9.0,33.0,133.0
6,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,6,1,42.0,6.8108108108108105,9.0,33.0,133.0
7,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,6,2,42.0,6.631578947368421,8.0,33.0,133.0
8,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,6,3,42.0,6.461538461538462,8.0,33.0,133.0
9,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,6,4,42.0,6.300000000000001,8.0,33.0,133.0
10,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,6,5,43.0,6.2926829268292686,8.0,33.0,133.0
11,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,6,6,43.0,6.142857142857142,8.0,33.0,133.0
12,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,7,1,44.0,6.1395348837209305,8.0,33.0,133.0
13,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,7,2,45.0,6.136363636363637,8.0,33.0,133.0
14,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,7,3,45.0,6.0,8.0,33.0,133.0
15,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,7,4,45.0,5.869565217391305,8.0,33.0,133.0
16,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,7,5,47.0,6.0,8.0,33.0,133.0
17,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,7,6,47.0,5.875,8.0,33.0,133.0
18,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,8,1,47.0,5.755102040816326,8.0,33.0,133.0
